date,name,category,value
2020-01-05,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-01-12,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-01-19,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-01-26,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-02-02,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-02-09,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-02-16,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-02-23,Domestic COVID-19 outbreak,Domestic outbreak,10.87
2020-03-01,Domestic COVID-19 outbreak,Domestic outbreak,15.43
2020-03-08,Domestic COVID-19 outbreak,Domestic outbreak,22.79
2020-03-15,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-03-22,Domestic COVID-19 outbreak,Domestic outbreak,5.99
2020-03-29,Domestic COVID-19 outbreak,Domestic outbreak,13.3
2020-04-05,Domestic COVID-19 outbreak,Domestic outbreak,10.35
2020-04-12,Domestic COVID-19 outbreak,Domestic outbreak,9.13
2020-04-19,Domestic COVID-19 outbreak,Domestic outbreak,12.1
2020-04-26,Domestic COVID-19 outbreak,Domestic outbreak,8.16
2020-05-03,Domestic COVID-19 outbreak,Domestic outbreak,14.42
2020-05-10,Domestic COVID-19 outbreak,Domestic outbreak,11.3
2020-05-17,Domestic COVID-19 outbreak,Domestic outbreak,8.01
2020-05-24,Domestic COVID-19 outbreak,Domestic outbreak,11.41
2020-05-31,Domestic COVID-19 outbreak,Domestic outbreak,0
2020-06-07,Domestic COVID-19 outbreak,Domestic outbreak,10.28
2020-06-14,Domestic COVID-19 outbreak,Domestic outbreak,3.54
2020-06-21,Domestic COVID-19 outbreak,Domestic outbreak,14.54
2020-06-28,Domestic COVID-19 outbreak,Domestic outbreak,13.1
2020-07-05,Domestic COVID-19 outbreak,Domestic outbreak,18.67
2020-07-12,Domestic COVID-19 outbreak,Domestic outbreak,14.35
2020-07-19,Domestic COVID-19 outbreak,Domestic outbreak,15.55
2020-07-26,Domestic COVID-19 outbreak,Domestic outbreak,13.89
2020-08-02,Domestic COVID-19 outbreak,Domestic outbreak,13.85
2020-01-05,Frontline healthcare,Healthcare,0
2020-01-12,Frontline healthcare,Healthcare,0
2020-01-19,Frontline healthcare,Healthcare,0
2020-01-26,Frontline healthcare,Healthcare,0
2020-02-02,Frontline healthcare,Healthcare,0
2020-02-09,Frontline healthcare,Healthcare,0
2020-02-16,Frontline healthcare,Healthcare,0
2020-02-23,Frontline healthcare,Healthcare,0
2020-03-01,Frontline healthcare,Healthcare,0
2020-03-08,Frontline healthcare,Healthcare,0
2020-03-15,Frontline healthcare,Healthcare,7.24
2020-03-22,Frontline healthcare,Healthcare,11.42
2020-03-29,Frontline healthcare,Healthcare,9.05
2020-04-05,Frontline healthcare,Healthcare,11.27
2020-04-12,Frontline healthcare,Healthcare,8.85
2020-04-19,Frontline healthcare,Healthcare,6.94
2020-04-26,Frontline healthcare,Healthcare,10.45
2020-05-03,Frontline healthcare,Healthcare,10.53
2020-05-10,Frontline healthcare,Healthcare,0
2020-05-17,Frontline healthcare,Healthcare,11.08
2020-05-24,Frontline healthcare,Healthcare,0
2020-05-31,Frontline healthcare,Healthcare,0
2020-06-07,Frontline healthcare,Healthcare,0
2020-06-14,Frontline healthcare,Healthcare,0
2020-06-21,Frontline healthcare,Healthcare,5.36
2020-06-28,Frontline healthcare,Healthcare,10.81
2020-07-05,Frontline healthcare,Healthcare,0
2020-07-12,Frontline healthcare,Healthcare,7.27
2020-07-19,Frontline healthcare,Healthcare,0
2020-07-26,Frontline healthcare,Healthcare,0
2020-08-02,Frontline healthcare,Healthcare,0
2020-01-05,Scientific research & opinion,Science,31.38
2020-01-12,Scientific research & opinion,Science,0
2020-01-19,Scientific research & opinion,Science,0
2020-01-26,Scientific research & opinion,Science,0
2020-02-02,Scientific research & opinion,Science,0
2020-02-09,Scientific research & opinion,Science,0
2020-02-16,Scientific research & opinion,Science,0
2020-02-23,Scientific research & opinion,Science,0
2020-03-01,Scientific research & opinion,Science,0
2020-03-08,Scientific research & opinion,Science,0
2020-03-15,Scientific research & opinion,Science,0
2020-03-22,Scientific research & opinion,Science,0
2020-03-29,Scientific research & opinion,Science,0
2020-04-05,Scientific research & opinion,Science,0
2020-04-12,Scientific research & opinion,Science,0
2020-04-19,Scientific research & opinion,Science,0
2020-04-26,Scientific research & opinion,Science,0
2020-05-03,Scientific research & opinion,Science,0
2020-05-10,Scientific research & opinion,Science,0
2020-05-17,Scientific research & opinion,Science,4.8
2020-05-24,Scientific research & opinion,Science,0
2020-05-31,Scientific research & opinion,Science,0
2020-06-07,Scientific research & opinion,Science,0
2020-06-14,Scientific research & opinion,Science,0
2020-06-21,Scientific research & opinion,Science,0
2020-06-28,Scientific research & opinion,Science,0
2020-07-05,Scientific research & opinion,Science,5.01
2020-07-12,Scientific research & opinion,Science,2.56
2020-07-19,Scientific research & opinion,Science,2.2
2020-07-26,Scientific research & opinion,Science,2.34
2020-08-02,Scientific research & opinion,Science,0
2020-01-05,Government responses and actions,Government,0
2020-01-12,Government responses and actions,Government,21.28
2020-01-19,Government responses and actions,Government,0
2020-01-26,Government responses and actions,Government,9.37
